,BALANCE,PURCHASES,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,CLUSTER
count,7.0,7.0,7.0,7.0,7.0,7.0
mean,6674.0807805714285,1714.4985714285717,6457.142857142857,2169.653661142857,52620.43299,6.0
std,2595.546913424388,2797.705940554561,2622.884635191531,1914.9586981053044,13197.331522995051,0.0
min,3457.0861840000002,0.0,1700.0,92.86546899999999,38512.12477,6.0
25%,4802.0692545,0.0,5250.0,264.9993485,42881.1397,6.0
50%,6022.224462,900.87,7000.0,2688.447014,50260.75947,6.0
75%,8531.852619500001,1680.57,8500.0,3657.744364,58700.829885,6.0
max,10571.41107,7739.48,9000.0,4560.775720000001,76406.20752000001,6.0
