,BALANCE,PURCHASES,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,CLUSTER
count,947.0,947.0,947.0,947.0,947.0,947.0
mean,6058.365005524815,978.1482998944033,9080.25343189018,2520.377122219641,2100.4245783051742,0.0
std,2145.024054801674,1472.0384333266811,3315.8662622151655,2045.753935742895,1287.800835345219,0.0
min,3007.6648609999997,0.0,3500.0,0.0,312.343947,0.0
25%,4531.536264,0.0,6500.0,1298.992035,1304.9640325,0.0
50%,5487.683724,320.08,8500.0,1786.142816,1737.0337539999998,0.0
75%,6986.6231525,1421.215,11000.0,2820.2826085,2466.5306094999996,0.0
max,18495.55855,10166.69,22000.0,13001.03715,9952.672511,0.0
