,BALANCE,PURCHASES,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,CLUSTER
count,8950.0,8950.0,8950.0,8950.0,8950.0,8950.0
mean,1564.4748276781006,1003.2048335195531,4494.282472772402,1733.1438520248043,844.9067666256983,1.3039106145251396
std,2081.5318794565546,2136.6347818728887,3638.64670163152,2895.063756904574,2332.7923216628733,0.9639474430586373
min,0.0,0.0,50.0,0.0,0.019163,0.0
25%,128.2819155,39.635,1600.0,383.276166,170.85765425,1.0
50%,873.385231,361.28,3000.0,856.901546,312.343947,1.0
75%,2054.1400355,1110.13,6500.0,1901.13431675,788.7135007499999,2.0
max,19043.13856,49039.57,30000.0,50721.483360000006,76406.20752000001,6.0
