,BALANCE,PURCHASES,PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CREDIT_LIMIT,PAYMENTS,PRC_FULL_PAYMENT,CLUSTER
count,1182.0,1182.0,1182.0,1182.0,1182.0,1182.0,1182.0,1182.0
mean,136.0585992571912,1329.8828764805414,0.7770610456852792,0.5889719560067682,4855.078577653976,1541.7596215896783,0.8147397834179357,5.0
std,165.2079117926697,1381.0768472403163,0.27482189824879294,0.3628497368922434,3728.7096213673426,1532.1341107521325,0.19068246720288587,0.0
min,0.074724,0.0,0.0,0.0,300.0,34.401590999999996,0.333333,5.0
25%,31.890334000000003,366.7875,0.583333,0.25,2000.0,456.508015,0.666667,5.0
50%,79.389139,808.7249999999999,0.916667,0.666667,4000.0,1007.640131,0.857143,5.0
75%,179.64696275,1830.3849999999998,1.0,0.916667,7000.0,2023.98440175,1.0,5.0
max,1565.98205,7244.98,1.0,1.0,25000.0,10893.77844,1.0,5.0
