,BALANCE,PURCHASES,PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CREDIT_LIMIT,PAYMENTS,PRC_FULL_PAYMENT,CLUSTER
count,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
mean,5351.54610604,27085.309199999996,0.8926666400000001,0.70866664,16360.0,27159.043526560003,0.49075756,4.0
std,4235.586481612813,8459.04827100096,0.23383281076210555,0.3708137011283294,5626.425745237083,9708.37423367338,0.41015066135365424,0.0
min,1268.809031,12551.95,0.166667,0.0,7500.0,8760.860264,0.0,4.0
25%,2774.249582,22009.92,1.0,0.416667,12000.0,22350.29247,0.083333,4.0
50%,3454.094319,25615.07,1.0,0.916667,17000.0,26557.09724,0.416667,4.0
75%,6372.182817,31299.35,1.0,1.0,18000.0,31698.419019999998,0.916667,4.0
max,19043.13856,49039.57,1.0,1.0,30000.0,50721.483360000006,1.0,4.0
