,BALANCE,PURCHASES,PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CREDIT_LIMIT,PAYMENTS,PRC_FULL_PAYMENT,CLUSTER
count,8950.0,8950.0,8950.0,8950.0,8950.0,8950.0,8950.0,8950.0
mean,1564.4748276781006,1003.2048335195531,0.49035054837988823,0.3644373415642458,4494.282472772402,1733.1438520248043,0.15371464849162012,2.2429050279329608
std,2081.5318794565546,2136.6347818728887,0.40137074736904105,0.39744777974541307,3638.64670163152,2895.063756904574,0.29249919623387854,1.871498278725263
min,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
25%,128.2819155,39.635,0.083333,0.0,1600.0,383.276166,0.0,1.0
50%,873.385231,361.28,0.5,0.166667,3000.0,856.901546,0.0,2.0
75%,2054.1400355,1110.13,0.916667,0.75,6500.0,1901.13431675,0.14285699999999998,3.0
max,19043.13856,49039.57,1.0,1.0,30000.0,50721.483360000006,1.0,6.0
