,BALANCE,PURCHASES,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,CLUSTER
count,5510.0,5510.0,5510.0,5510.0,5510.0,5510.0
mean,813.4157332341197,471.3577404718693,2260.669187336116,868.7416942675137,474.87556159655173,1.0
std,851.9236363296792,628.3266722850211,1151.5810976640116,948.0826180847978,734.116792200217,0.0
min,0.0,0.0,50.0,0.0,0.019163,1.0
25%,69.05975875,0.0,1200.0,283.53346725,156.0905835,1.0
50%,550.5216304999999,243.2,2000.0,550.0555465,260.072231,1.0
75%,1293.104716,643.4525000000001,3000.0,1089.348923,504.28270675,1.0
max,4223.832142,4793.35,5700.0,9858.055448000001,8411.177378,1.0
