,BALANCE,PURCHASES,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,CLUSTER
count,341.0,341.0,341.0,341.0,341.0,341.0
mean,3135.1835746539587,5504.831231671554,9324.940015997066,10088.990008997067,1395.4482871378298,5.0
std,2726.7221800173143,3853.2431660479897,4262.374626530506,5921.723690149008,1759.961625015914,0.0
min,0.0,0.0,1000.0,508.79744400000004,5.045387,5.0
25%,975.637547,2155.13,6200.0,6083.511913,310.712671,5.0
50%,2479.815703,5714.5,9000.0,8529.330225,788.689176,5.0
75%,4230.023512,8257.26,11500.0,11891.44907,1633.85526,5.0
max,15244.74865,15704.04,30000.0,40627.595239999995,11652.56511,5.0
