,BALANCE,PURCHASES,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,CLUSTER
count,73.0,73.0,73.0,73.0,73.0,73.0
mean,3511.2131771917802,870.6775342465754,3737.671232876712,1656.2419291095891,15955.150250397259,3.0
std,2641.0218056865806,1732.122878908503,3023.7116267134456,3307.0738962269784,6153.840449468792,0.0
min,915.7177029999999,0.0,1000.0,46.969049,8607.234543,3.0
25%,1718.885963,0.0,1500.0,192.94709699999999,11116.45317,3.0
50%,2627.184835,288.39,3000.0,467.20485199999996,13557.29726,3.0
75%,4415.526081,770.9,4500.0,1293.650192,19060.53475,3.0
max,14100.2511,11147.33,16500.0,20418.33238,31871.36379,3.0
