,BALANCE,PURCHASES,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,CLUSTER
count,2047.0,2047.0,2047.0,2047.0,2047.0,2047.0
mean,1112.3272976844162,1380.2415925744992,7455.635741883732,1994.4595445925745,423.68668100537377,2.0
std,1129.7494919758826,1367.950861698156,2816.9825265187833,1752.513920886346,480.3482833903606,0.0
min,0.0,0.0,1500.0,0.0,0.11703599999999999,2.0
25%,146.839913,268.96500000000003,6000.0,694.747218,170.53238950000002,2.0
50%,568.0607219999999,963.35,7000.0,1389.167981,238.440314,2.0
75%,1990.8612620000001,2196.83,8500.0,2841.9440050000003,569.936727,2.0
max,4240.449485,7597.09,25000.0,10893.77844,5583.6304820000005,2.0
