,BALANCE,PURCHASES,PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CREDIT_LIMIT,PAYMENTS,PRC_FULL_PAYMENT,CLUSTER
count,2230.0,2230.0,2230.0,2230.0,2230.0,2230.0,2230.0,2230.0
mean,810.6467116264574,969.115403587444,0.8674684219730942,0.737614635426009,3024.38148299148,1072.8592904053812,0.07402776367713004,2.0
std,826.9784377977701,869.5205590216497,0.1627458499012323,0.2700965690523276,2030.5126312124717,1023.6811476690343,0.12509254749496082,0.0
min,0.0,8.4,0.454545,0.0,300.0,0.0,0.0,2.0
25%,103.614442,342.905,0.75,0.583333,1500.0,347.1209215,0.0,2.0
50%,561.6603545,655.415,0.916667,0.833333,2500.0,721.6024970000001,0.0,2.0
75%,1256.62308625,1337.3474999999999,1.0,1.0,4000.0,1460.23306425,0.1,2.0
max,4414.952906,5359.02,1.0,1.0,11000.0,6801.933334,0.5,2.0
