,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,cluster
count,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0
mean,5232.96635699099,0.8826498558558558,1450.292882882883,857.2684684684685,593.2226126126126,11025.12690228829,0.35565596396396393,0.1947808018018018,0.2787917927927928,0.5006932162162161,20.972972972972972,18.603603603603602,10864.414414414414,15508.649826135133,2090.2336756036034,0.14776198198198198,11.675675675675675,4.0
std,3330.4849923187203,0.2353864010397622,2507.0094722885156,1695.8310476417796,1302.0010718678118,6933.615872317325,0.4150158654987876,0.2984844898567313,0.39131280456944173,0.28838435154886943,21.33689057156406,39.40426356241146,3947.2912886698036,6988.017816573255,2533.07288971395,0.19555605865094178,1.1294581336533351,0.0
min,4.382924,0.090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,5574.916601,16.95009,0.0,6.0,4.0
25%,2563.1654019999996,0.9045455,0.0,0.0,0.0,7242.7005845,0.0,0.0,0.0,0.30303,7.5,0.0,8750.0,10580.45016,934.5873945000001,0.0,12.0,4.0
50%,4939.64603,1.0,117.0,0.0,0.0,10239.088590000001,0.083333,0.0,0.0,0.5,16.0,1.0,11000.0,13562.87926,1513.375079,0.083333,12.0,4.0
75%,7137.246193,1.0,1769.75,950.4449999999999,673.635,14164.179885000001,0.833333,0.333333,0.583333,0.75,27.5,19.5,13000.0,19727.42265,2264.2929400000003,0.1833335,12.0,4.0
max,14581.45914,1.0,12551.95,10901.24,8409.93,47137.211760000006,1.0,1.0,1.0,1.0,123.0,308.0,21000.0,40627.595239999995,21235.0653,1.0,12.0,4.0
