,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,cluster
count,436.0,436.0,436.0,436.0,436.0,436.0,436.0,436.0,436.0,436.0,436.0,436.0,436.0,436.0,436.0,436.0,436.0,436.0
mean,5638.602702183485,0.95589148853211,1637.374128440367,1000.9925,636.5351834862385,2064.000454016055,0.569483252293578,0.33806121559633034,0.4113288990825688,0.21707150229357797,5.3807339449541285,23.63302752293578,13608.371559633028,2619.286229621559,1753.100807761468,0.12235377981651377,11.885321100917432,5.0
std,3922.0224567370587,0.14181552878974435,1825.049697072717,1285.841993424618,972.6794843607466,2544.5471581816228,0.4077255487989644,0.3618433249199455,0.40401068824727365,0.2531649137827053,8.502440240001638,30.897653982424483,2949.8380800321356,1781.1442241051836,1483.3518363135825,0.2963379337756636,0.591639170568877,0.0
min,1.059425,0.090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9000.0,31.845894,22.081988,0.0,6.0,5.0
25%,2451.2287825,1.0,185.46250000000003,0.0,0.0,0.0,0.09772725000000002,0.0,0.0,0.0,0.0,2.0,11500.0,1476.7216945,634.9692124999999,0.0,12.0,5.0
50%,5784.686572500001,1.0,992.98,458.375,183.595,952.5571480000001,0.666667,0.166667,0.333333,0.1333335,2.0,12.0,13000.0,2107.189491,1498.9382030000002,0.0,12.0,5.0
75%,8231.48223575,1.0,2579.9975,1556.3899999999999,1000.8775,3609.28018775,1.0,0.6166667499999999,0.833333,0.333333,8.0,34.0,15000.0,3175.46865025,2520.1217135,0.0,12.0,5.0
max,18495.55855,1.0,10166.69,7564.81,6866.69,12702.4277,1.0,1.0,1.0,1.125,93.0,216.0,30000.0,11717.30794,9642.502512000001,1.0,12.0,5.0
