,BALANCE,PURCHASES,PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CREDIT_LIMIT,PAYMENTS,PRC_FULL_PAYMENT,CLUSTER
count,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0
mean,3520.668504856322,6589.432586206896,0.7513061609195403,0.5883900862068966,10379.885057471265,13224.884407189656,0.35636928160919534,3.0
std,3502.876382705943,4429.070469993106,0.3608729437989557,0.4047835678803005,4450.731964027219,6550.581800360087,0.37257892198367265,0.0
min,0.0,0.0,0.0,0.0,1000.0,5199.074518,0.0,3.0
25%,894.9076964999999,2501.4225,0.6041664999999999,0.166667,7000.0,8351.035884249999,0.0,3.0
50%,2061.1766785,7323.345,1.0,0.666667,10000.0,11467.670215,0.25,3.0
75%,5202.062045500001,9795.267500000002,1.0,1.0,13000.0,15984.910834999999,0.72916675,3.0
max,15244.74865,15704.04,1.0,1.0,21500.0,40627.595239999995,1.0,3.0
