,BALANCE,PURCHASES,PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CREDIT_LIMIT,PAYMENTS,PRC_FULL_PAYMENT,CLUSTER
count,895.0,895.0,895.0,895.0,895.0,895.0,895.0,895.0
mean,5103.929640681564,343.8082905027933,0.16219591061452515,0.054085427932960894,8898.329101067038,2748.9613592905025,0.014783897206703908,6.0
std,2404.8194856760365,636.5707536415863,0.22474634106121422,0.12149889682013193,3187.71638761117,2639.9841734302418,0.05323646055459473,0.0
min,1.019189,0.0,0.0,0.0,3500.0,0.0,0.0,6.0
25%,3631.557858,0.0,0.0,0.0,6500.0,1122.4058295,0.0,6.0
50%,4805.164203,0.01,0.083333,0.0,8500.0,1647.245926,0.0,6.0
75%,6265.814589,402.61,0.3,0.0,10500.0,3204.3228505,0.0,6.0
max,16304.88925,4900.0,1.0,0.583333,23000.0,13956.71873,0.75,6.0
