,BALANCE,PURCHASES,PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CREDIT_LIMIT,PAYMENTS,PRC_FULL_PAYMENT,CLUSTER
count,3712.0,3712.0,3712.0,3712.0,3712.0,3712.0,3712.0,3712.0
mean,1018.2918610662716,268.20784752155174,0.15184201643318967,0.051201724407327585,2970.8512931034484,965.5959132349138,0.03879378178879311,1.0
std,905.7797477167962,490.3342795777685,0.18360617756523445,0.10774277536092661,2078.6811435481836,1262.5625853013764,0.09592776781030597,0.0
min,0.0,0.0,0.0,0.0,50.0,0.0,0.0,1.0
25%,173.3046655,0.0,0.0,0.0,1500.0,276.70573950000005,0.0,1.0
50%,907.525704,56.474999999999994,0.083333,0.0,2500.0,535.6667514999999,0.0,1.0
75%,1570.0863990000003,318.235,0.25,0.0,4000.0,1089.326498,0.0,1.0
max,4028.0364799999998,5497.04,0.833333,0.454545,13000.0,12902.18813,0.666667,1.0
