,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,cluster
count,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0
mean,4438.237601108108,0.985258,1194.7283783783782,172.96783783783783,1021.7605405405405,1024.245605891892,0.5128992162162161,0.050368486486486494,0.4830057297297297,0.08681405405405405,2.972972972972973,23.027027027027028,4652.7027027027025,1534.8134655675674,27711.273915675683,0.0,11.91891891891892,7.0
std,2584.0471288444373,0.05468626809812498,2241.0949210393587,464.1275573118949,2104.8594221889207,2084.6153255951886,0.44778886135550877,0.08333742243188284,0.47032246519865073,0.10904871910449168,4.506085308203208,36.36121750076774,3005.5491720858313,2225.1021256653594,14069.66366807022,0.0,0.2767247306920301,0.0
min,1418.254924,0.727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,46.969049,15584.097419999998,0.0,11.0,7.0
25%,2431.019916,1.0,29.29,0.0,0.0,0.0,0.083333,0.0,0.0,0.0,0.0,1.0,2100.0,294.15387200000004,17862.55831,0.0,12.0,7.0
50%,3517.1016159999995,1.0,419.64,0.0,305.78,0.0,0.583333,0.0,0.583333,0.0,0.0,12.0,4000.0,518.300462,24302.09819,0.0,12.0,7.0
75%,6022.224462,1.0,966.6,45.65,912.54,797.15895,1.0,0.083333,1.0,0.166667,4.0,21.0,7500.0,1497.318035,29019.802880000003,0.0,12.0,7.0
max,11209.37076,1.0,11147.33,2463.0,10009.93,10616.27014,1.0,0.333333,1.0,0.363636,17.0,162.0,11000.0,8735.607834999999,76406.20752000001,0.0,12.0,7.0
